unemployed,ANYWORK,education_level,latino,race,home_food_costs,outside_food_costs,housing_status,LIVQTR,owe_backrent,owe_backmortgage,expect_eviction,income_bracket,expect_foreclosure,use_credit_cards,weight
2,1,7,1,1,100.0,5.0,3,9,1,77,2,5,77,1,1043.1260186
2,1,7,1,2,0.0,0.0,3,9,1,77,2,8,77,1,1353.8682254
1,2,7,1,2,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,107.8796218
2,2,3,1,2,155.77916356258842,46.76446854918348,3,5,1,77,2,1,77,1,335.90647223
2,1,5,1,1,100.0,0.0,1,6,77,77,77,8,77,1,88.60840646
1,1,7,1,1,125.0,75.0,2,3,77,1,77,8,3,1,52.742529497
1,2,4,1,2,75.0,20.0,2,3,77,2,77,3,4,1,204.64892199
1,2,6,1,2,280.0,94.56626490562559,2,3,77,1,77,4,3,1,107.8796218
1,1,7,1,2,25.0,25.0,2,3,77,1,77,4,3,1,107.8796218
2,1,7,2,1,300.0,200.0,2,2,77,1,77,6,3,1,100.52497169
2,2,4,1,1,125.0,0.0,1,9,77,77,77,5,77,1,137.01810073
1,1,3,1,2,0.0,200.0,1,4,77,77,77,5,77,1,335.90647223
2,1,7,1,1,189.227868327961,83.76211784231891,2,7,77,1,77,6,3,1,54.069355693
2,1,7,1,1,175.0,75.0,3,3,1,77,3,6,77,1,880.1230212
1,2,3,1,3,250.0,250.0,3,2,1,77,3,1,77,1,626.02659742
2,1,7,1,3,150.0,50.0,2,2,77,1,77,8,3,1,181.68687756
2,1,7,1,3,80.0,0.0,3,9,1,77,2,4,77,1,392.83401812
1,2,4,1,4,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,332.6386948
2,1,6,1,1,150.0,50.0,2,9,77,1,77,6,2,1,87.829654772
2,1,7,1,3,400.0,200.0,1,3,77,77,77,6,77,1,138.63335259
2,2,7,1,1,100.0,0.0,1,8,77,77,77,4,77,1,80.389594947
2,1,7,2,1,300.0,0.0,2,3,77,1,77,8,3,1,76.996629478
1,1,6,1,4,150.0,100.0,2,3,77,1,77,6,3,1,109.52223174
1,2,6,1,1,186.50878955549945,80.75489671399761,2,2,77,1,77,5,3,1,68.094076165
1,1,7,1,1,500.0,150.0,2,2,77,1,77,8,3,1,55.806555255
1,1,7,1,2,165.0,100.0,2,2,77,1,77,6,3,1,133.76810475
1,1,7,1,1,183.0,0.0,3,9,1,77,2,5,77,1,40.414232465
1,2,7,2,2,100.0,34.0,1,3,77,77,77,6,77,1,100.52497169
2,1,7,1,1,175.0,75.0,3,9,1,77,2,6,77,1,54.069355693
1,2,7,1,1,300.0,0.0,2,3,77,1,77,7,3,1,52.742529497
1,1,6,1,3,186.50878955549945,80.75489671399761,1,3,77,77,77,5,77,1,111.40449979
2,1,7,1,1,151.33547878104926,0.0,1,2,77,77,77,7,77,1,80.389594947
1,1,7,1,1,186.50878955549945,80.75489671399761,1,3,77,77,77,5,77,1,150.17999935
2,1,7,1,1,200.0,0.0,3,3,1,77,3,6,77,1,51.796716957
2,1,6,1,1,400.0,0.0,3,4,1,77,3,6,77,1,167.5928172
2,1,7,1,1,75.0,100.0,2,5,77,1,77,7,3,1,55.806555255
2,1,7,1,1,400.0,200.0,2,5,77,1,77,7,3,1,150.17999935
2,2,5,1,1,200.0,50.0,1,2,77,77,77,8,77,1,88.60840646
1,1,7,1,1,186.50878955549945,80.75489671399761,2,2,77,1,77,5,3,1,93.047593504
2,2,4,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,174.83785779
2,1,7,1,1,200.0,30.0,2,5,77,1,77,6,3,1,54.069355693
1,1,7,1,2,300.0,100.0,2,4,77,1,77,6,3,1,133.76810475
2,1,7,1,1,90.0,120.0,1,3,77,77,77,8,77,1,55.157586462
2,1,7,1,1,200.0,30.0,3,9,1,77,2,7,77,1,51.796716957
2,1,6,1,1,130.0,20.0,3,3,1,77,3,4,77,1,235.11699558
2,1,7,1,1,100.0,80.0,2,6,77,1,77,7,3,1,245.10344501
2,1,7,1,1,250.0,125.0,2,2,77,1,77,8,3,1,150.17999935
2,1,7,1,2,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,298.66076603
2,1,7,1,1,186.50878955549945,80.75489671399761,2,2,77,1,77,5,3,1,150.17999935
1,1,7,1,1,250.0,10.0,2,3,77,1,77,8,3,1,40.414232465
2,1,7,1,1,350.0,100.0,3,5,1,77,2,5,77,1,87.829654772
2,1,7,1,1,250.0,50.0,2,3,77,2,77,5,3,1,56.538982314
2,1,6,1,1,100.0,150.0,2,8,77,1,77,7,3,1,55.157586462
2,1,7,1,1,100.0,40.0,3,9,1,77,2,4,77,1,68.094076165
2,1,7,1,1,200.0,100.0,2,2,77,1,77,8,3,1,56.538982314
2,1,7,1,2,250.0,64.0,3,3,1,77,3,8,77,1,108.61604004
2,2,7,1,2,59.0,0.0,1,3,77,77,77,4,77,1,107.8796218
1,1,4,1,2,230.0,76.51993390775704,2,3,77,1,77,3,3,1,145.67257955
2,1,7,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,68.094076165
2,1,3,1,2,150.0,60.0,2,2,77,1,77,5,3,1,335.90647223
2,1,6,1,1,200.0,150.0,2,3,77,1,77,7,3,1,93.047593504
2,2,4,1,1,200.0,200.0,2,8,77,1,77,8,3,1,137.01810073
2,1,7,1,3,100.0,20.0,2,9,77,1,77,6,2,1,111.40449979
1,2,6,1,2,250.0,0.0,3,6,2,77,1,1,77,1,79.743425153
1,1,7,1,1,75.0,25.0,2,2,77,1,77,6,3,1,40.414232465
1,2,7,1,2,350.0,0.0,1,3,77,77,77,5,77,1,133.76810475
2,1,6,1,2,300.0,0.0,1,3,77,77,77,5,77,1,108.61604004
2,1,7,1,1,120.0,50.0,2,3,77,1,77,8,3,1,51.796716957
2,1,7,1,2,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,108.61604004
1,1,4,1,2,200.0,60.0,2,2,77,1,77,6,3,1,81.006254031
2,2,4,1,2,0.0,50.0,2,3,77,1,77,5,3,1,183.87281211
1,1,3,1,2,40.0,30.0,3,2,1,77,3,3,77,1,762.46048398
1,1,6,1,2,60.0,20.0,3,2,1,77,3,4,77,1,133.76810475
1,1,7,1,1,300.0,100.0,3,4,1,77,3,1,77,1,994.22891898
2,1,6,1,2,125.0,75.0,2,2,77,1,77,5,3,1,79.743425153
2,2,7,1,1,75.0,70.0,1,5,77,77,77,7,77,1,40.414232465
1,1,6,1,1,200.0,60.0,2,7,77,1,77,7,3,1,52.742529497
1,1,4,1,2,200.0,84.27172962269773,1,4,77,77,77,5,77,1,81.006254031
2,1,7,1,2,100.0,75.0,2,2,77,1,77,6,3,1,108.61604004
1,2,6,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,40.414232465
2,1,6,1,1,100.0,80.0,3,7,1,77,2,7,77,1,167.5928172
1,2,3,1,2,230.0,70.0,3,7,2,77,2,1,77,1,496.83719384
2,1,6,1,1,150.0,50.0,3,9,1,77,2,7,77,1,167.5928172
1,1,3,1,2,186.50878955549945,80.75489671399761,1,3,77,77,77,5,77,1,549.59231247
1,1,6,1,2,100.0,15.0,1,8,77,77,77,3,77,1,114.54682373
2,1,7,1,2,80.0,0.0,1,2,77,77,77,5,77,1,79.743425153
2,2,6,1,1,300.0,70.0,3,7,2,77,2,1,77,1,899.75405235
2,1,6,1,2,100.0,100.0,3,7,1,77,2,3,77,1,3546.1509377
2,1,7,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,93.047593504
2,1,3,2,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,420.19404469
2,1,6,1,2,300.0,45.0,1,3,77,77,77,4,77,1,74.386360892
2,2,6,1,1,80.0,0.0,1,9,77,77,77,6,77,1,56.538982314
1,2,4,1,2,189.227868327961,83.76211784231891,2,3,77,1,77,6,3,1,209.71633423
2,2,4,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,88.60840646
2,1,7,1,1,444.0,92.0,2,2,77,1,77,8,3,1,40.414232465
2,1,7,1,1,200.0,200.0,3,3,1,77,3,8,77,1,150.17999935
2,1,7,1,4,30.0,30.0,3,4,1,77,3,1,77,1,109.52223174
2,2,7,1,1,145.86700294241987,0.0,1,3,77,77,77,5,77,1,80.389594947
1,2,3,1,2,100.0,100.0,3,6,1,77,2,3,77,1,891.08127574
2,1,7,1,1,150.0,30.0,2,3,77,1,77,8,3,1,55.806555255
