unemployed,ANYWORK,education_level,latino,race,home_food_costs,outside_food_costs,housing_status,LIVQTR,owe_backrent,owe_backmortgage,expect_eviction,income_bracket,income,expect_foreclosure,use_credit_cards,weight,EST_ST
2.0,1.0,7,1,1,100.0,5.0,3.0,9.0,1.0,77.0,,5.0,5740.029137017805,77.0,,1043.1260186,11
2.0,1.0,7,1,2,0.0,0.0,3.0,9.0,1.0,77.0,,8.0,0.0,77.0,1.0,1353.8682254,11
1.0,2.0,7,1,2,,,,,77.0,77.0,77.0,,2489.2123128723115,77.0,,107.8796218,11
2.0,2.0,3,1,2,,,3.0,5.0,1.0,77.0,,1.0,0.0,77.0,,335.90647223,11
2.0,1.0,5,1,1,100.0,0.0,1.0,6.0,77.0,77.0,77.0,8.0,0.0,77.0,,88.60840646,11
1.0,1.0,7,1,1,125.0,75.0,2.0,3.0,77.0,1.0,77.0,8.0,3918.856687219416,,,52.742529497,11
1.0,2.0,4,1,2,75.0,20.0,2.0,3.0,77.0,2.0,77.0,3.0,0.0,4.0,,204.64892199,11
1.0,2.0,6,1,2,280.0,,2.0,3.0,77.0,1.0,77.0,4.0,0.0,,1.0,107.8796218,11
1.0,1.0,7,1,2,25.0,25.0,2.0,3.0,77.0,1.0,77.0,4.0,11228.566265524083,,,107.8796218,11
2.0,1.0,7,2,1,300.0,200.0,2.0,2.0,77.0,1.0,77.0,,0.0,,,100.52497169,11
2.0,2.0,4,1,1,125.0,0.0,1.0,9.0,77.0,77.0,77.0,5.0,0.0,77.0,,137.01810073,11
1.0,1.0,3,1,2,0.0,200.0,,,77.0,77.0,77.0,,0.0,77.0,,335.90647223,11
2.0,1.0,7,1,1,,,2.0,7.0,77.0,1.0,77.0,6.0,0.0,,,54.069355693,11
2.0,1.0,7,1,1,175.0,75.0,3.0,3.0,1.0,77.0,,6.0,13229.462275970669,77.0,,880.1230212,11
1.0,2.0,3,1,3,250.0,250.0,3.0,2.0,1.0,77.0,,1.0,4668.120806218889,77.0,,626.02659742,11
2.0,1.0,7,1,3,150.0,50.0,2.0,2.0,77.0,1.0,77.0,8.0,1689.492567071853,,,181.68687756,11
2.0,1.0,7,1,3,80.0,0.0,3.0,9.0,1.0,77.0,,4.0,13295.03134844776,77.0,,392.83401812,11
1.0,2.0,4,1,4,,,,,77.0,77.0,77.0,,11250.2196417712,77.0,,332.6386948,11
2.0,1.0,6,1,1,150.0,50.0,2.0,9.0,77.0,1.0,77.0,6.0,0.0,,,87.829654772,11
2.0,1.0,7,1,3,400.0,200.0,1.0,3.0,77.0,77.0,77.0,,2396.205388071964,77.0,,138.63335259,11
2.0,2.0,7,1,1,100.0,0.0,1.0,8.0,77.0,77.0,77.0,4.0,452.4993726132497,77.0,,80.389594947,11
